가산하다,더하다,"""공사에 납부하는 보증료로서 주채무 원금에 가산되는 대출금"""
갈음하다,대신하다,"""제3자가 채무자에 갈음하여 채무의 전부 또는 일부를 변제하고자 할 때에는"""
거치(기간),원금을 상환하지 않고 이자만 매달 납부하는 기간,"""대출개시일로부터 다음달 또는 일정기간 동안 거치 후"""
공부,토지대장 건축물대장 토지등기부 건물등기부 등 공적서류,"""근저당 물건의 실태가 공부와 상위한 때에도"""
공제하다,빼다,"""임차인의 임대차보증금에서 임대차계약에 따른 임대인의 채권 등을 공제한 잔액범위 내에서"""
교부하다,내주다 건네주다,"""채권자를 위하여 질권을 설정하여 그 보험증권을 채권자에게 교부하고"""
구상실현,본인을 대신하여 변제한 금액의 회수,"""귀 공사가 보증채무를 이행할 경우의 구상실현에 불리한 영향이 없을 때에는"""
구상채무,본인을 대신하여 변제한 채무,"""본인은 귀 공사에 대한 제1조의 채무승인으로 본인의 구상채무에 대한 소멸시효가 중단되었음을 인정합니다"""
귀책사유,책임있는 사유,"“갑의 귀책사유로 대출기관의 동 주택에 대한 담보취득이 지연되어 대출기관이 1순위 담보권을 확보하지 못하는 경우에는"""
균분,똑같이 나눔,"""기타 비용으로서 부담주체가 분명하지 아니한 비용 : 채권자와 채무자 또는 설정자의 균분"""
기 납부(한),이미 납부한,"""기 납부한 초기보증료중 일부가 환급됩니다"""
기발생손해금,이미 발생한 손해금,"""본인이 상환한 기발생손해금 상환액과 손해금률 6%에 의한 기발생손해금 산출액과의 차액 이상을 추가로 상환하기로 합니다"""
기성고율,전체 공사 비중에서 완성부분이 차지하는 비율,"""증명서류나 기성고율 등에 의하여 은행이 자금용도와 필요금액을 확인하고 분할 실행합니다"""
날인하다,도장을 찍다,"""임대인의 날인은 임대차계약서상의 날인과 동일할 것"""
누락하다(되다),빠뜨리다 빠지다,"""누락되는 부분없이 사실대로 기재하시기 바랍니다"""
담보취득,대출기관이 채권 확보를 위하여 근저당권 등을 설정하는 것,"""을은 당해주택의 준공 즉시 소유권 취득절차를 이행하여 대출기관이 우선적으로 담보취득할 수 있도록 한다"""
대위변제금,일반적으로는 제3자가 채무자를 대신하여 변제한 금액 공사가 보증인으로서 채무자를 대신하여 변제한 금액,"""본인은 분할상환 약정액 중 상환되지 아니한 대위변제금을 대상으로"""
대지급금,공사가 채무자를 대신하여 지출한 비용 등,
대출개시일,대출실행일,"""최초이자는 대출개시일로부터 1개월 이내에 그 후의 이자는 지급한 이자의 계산 최종일 다음날부터 1개월 이내에 지급합니다"""
